 20250214-160354,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_001_afddb924 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_001_afddb924,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.972367 - logloss: 0.299814
 20250214-170633,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_002_f67cfc8e --gpu 0,[exp_id] DIN_MicroLens_1M_x1_002_f67cfc8e,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.996979 - logloss: 0.034915
 20250214-193218,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_001_e0e44786 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_001_e0e44786,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.923579 - logloss: 0.412223
 20250214-201231,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_002_623c2871 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_002_623c2871,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.878801 - logloss: 0.556191
 20250214-203245,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_003_24068a79 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_003_24068a79,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.681316 - logloss: 0.859205
 20250214-211210,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_004_2518f3db --gpu 0,[exp_id] DIN_MicroLens_1M_x1_004_2518f3db,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.917367 - logloss: 0.404889
 20250214-221520,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_005_39d6d493 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_005_39d6d493,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.930168 - logloss: 0.391019
 20250214-225516,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_006_61beaf44 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_006_61beaf44,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.831875 - logloss: 0.518162
 20250214-230404,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_007_9d7321cd --gpu 0,[exp_id] DIN_MicroLens_1M_x1_007_9d7321cd,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.557476 - logloss: 0.797395
 20250214-231238,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_008_ec866caa --gpu 0,[exp_id] DIN_MicroLens_1M_x1_008_ec866caa,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.554184 - logloss: 0.810340
 20250214-232125,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_009_e9dd0a20 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_009_e9dd0a20,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.558167 - logloss: 0.829959
